left_capacity,right_capacity,required_fidelity,multiplexing,left_ttl_s,right_ttl_s,model_rate_hz,model_fidelity,raw_pair_fidelity,simulation_rate_hz,simulation_rate_std_hz,simulation_accepted_rate_hz,simulation_accepted_rate_std_hz,simulation_fidelity,simulation_fidelity_std,simulation_fidelity_min,simulation_fidelity_max,simulation_accepted_fidelity,simulation_below_target_count,simulation_delivered_count
1,1,0.75,False,0.031731112899149524,0.023798334674362147,93.22794032968521,0.8838233562093313,0.9099205336435602,96.221,2.5245179557869877,95.93,2.509597738300066,0.8805790151058891,0.0008663859630409128,0.7296105621634981,0.9106869248453107,0.88100267868161,291,96221
1,1,0.7822869764936485,False,0.023993478215508457,0.017995108661631343,92.7234285527476,0.884853212534777,0.9099205336435602,95.59,2.566981484038001,94.948,2.55024181859943,0.8815428028700532,0.0007846560802805067,0.7692223906830716,0.9106869248453107,0.8822571943610606,642,95590
1,1,0.8145739529872971,False,0.01706123996271858,0.012795929972038936,91.88016068959081,0.8863637003748324,0.9099205336435602,95.329,2.497283170231849,94.297,2.520119245214601,0.8843830501209912,0.0007891290279226582,0.8075000208716364,0.9106869248453107,0.88518753786944,1032,95329
1,1,0.8468609294809456,False,0.010782428024622434,0.008086821018466826,90.17950156219813,0.8888140709842387,0.9099205336435602,94.84,2.563417857297384,94.029,2.57208381502531,0.8898813901287927,0.0005589635015683559,0.8241411059066535,0.9106869248453107,0.8902646369385349,811,94840
1,1,0.8791479059745941,False,0.005044401128487199,0.003783300846365399,85.03988697610666,0.8935467511176207,0.9099205336435602,91.238,3.0744229975194965,90.163,3.0849800680396657,0.8985353344351849,0.0003096172083963939,0.8700131431111464,0.9106869248453107,0.8988121491602575,1075,91238
1,5,0.75,False,0.031731112899149524,0.023798334674362147,100.52565386134262,0.827149661856352,0.9099205336435602,100.623,3.049684699715163,93.091,3.075845781687904,0.8322370147974053,0.0016347046940334048,0.7264633862361836,0.9106868132486514,0.8397198662143811,7532,100623
1,5,0.7822869764936485,False,0.023993478215508457,0.017995108661631343,100.4159652354813,0.8381553241674851,0.9099205336435602,100.435,3.1292163475053854,93.503,3.1833676025444024,0.8475319330654062,0.0012052230046135915,0.766172022157563,0.9106875935860835,0.8528487358970507,6932,100435
1,5,0.8145739529872971,False,0.01706123996271858,0.012795929972038936,100.15199868056618,0.8513122958027762,0.9099205336435602,100.071,2.6887455300292973,94.671,2.6921620240313104,0.8635274998746377,0.0009054629101530758,0.8027708132452861,0.9106867016520107,0.8665293289233685,5400,100071
1,5,0.8468609294809456,False,0.010782428024622434,0.008086821018466826,99.30361844443277,0.8672822370947832,0.9099205336435602,99.6,2.4556263987221283,96.64,2.5912829785161393,0.8801716124039263,0.0006060469623717497,0.8385652785855734,0.9106873687134137,0.8812344821654405,2960,99600
1,5,0.8791479059745941,False,0.005044401128487199,0.003783300846365399,94.83608150981657,0.8864570750606465,0.9099205336435602,98.159,2.9304770873692156,97.506,2.872960673295587,0.8965226151029114,0.0002870700555459428,0.8700131431111464,0.9106877060224468,0.8966555592069063,653,98159
2,4,0.75,False,0.031731112899149524,0.023798334674362147,111.17065524463347,0.8416238102212379,0.9099205336435602,112.199,2.8739335307891065,105.457,2.900583535857027,0.8393602154945432,0.001477394695762184,0.7286484487085901,0.9106870364419887,0.8457155391209011,6742,112199
2,4,0.7822869764936485,False,0.023993478215508457,0.017995108661631343,111.0069215168021,0.8494428898931728,0.9099205336435602,112.394,3.1602908701317958,106.175,3.31633164137056,0.8524984683577402,0.00122392245085154,0.7668575788884301,0.9106870364419887,0.8569971281025204,6219,112394
2,4,0.8145739529872971,False,0.01706123996271858,0.012795929972038936,110.6566345743352,0.8591494515897237,0.9099205336435602,112.656,3.571925321874816,107.305,3.5140806231876103,0.8663971617324566,0.0008380614967916863,0.8036766136884606,0.9106870364419887,0.869160844312513,5351,112656
2,4,0.8468609294809456,False,0.010782428024622434,0.008086821018466826,109.66281710150652,0.8714962708022997,0.9099205336435602,112.107,2.8466977146841357,109.198,2.723855704509675,0.881663307172653,0.0005767896116506023,0.8240603612626616,0.9106870364419887,0.8826258982888342,2909,112107
2,4,0.8791479059745941,False,0.005044401128487199,0.003783300846365399,104.82968861170473,0.8873338182843177,0.9099205336435602,110.223,3.346092399117864,109.113,3.3865943382875385,0.896926093442903,0.00025672578537661635,0.8681275154074509,0.9106877060224468,0.897139469176236,1110,110223
3,3,0.75,False,0.031731112899149524,0.023798334674362147,111.64059972514727,0.853699774500969,0.9099205336435602,112.458,3.754355854043124,107.61,3.8129894949880057,0.8472438613338796,0.0014425566103438716,0.7262507822000309,0.9106870364419887,0.8520822811822978,4848,112458
3,3,0.7822869764936485,False,0.023993478215508457,0.017995108661631343,111.42772400879136,0.8590770370793009,0.9099205336435602,112.485,3.3475266008553755,107.414,3.1764289713609233,0.85742195481564,0.0010800526101390083,0.7564193211977206,0.9106870364419887,0.8612723275330276,5071,112485
3,3,0.8145739529872971,False,0.01706123996271858,0.012795929972038936,110.99953362260153,0.8660101637394062,0.9099205336435602,112.215,3.185268331465081,107.785,3.091447145682012,0.8693963139418749,0.0009250187987463603,0.7797745946093426,0.9106870364419887,0.8717983523358523,4430,112215
3,3,0.8468609294809456,False,0.010782428024622434,0.008086821018466826,109.88152662078322,0.8752971539717137,0.9099205336435602,112.155,3.1224302565582964,109.546,3.0317651624095157,0.8831163814539057,0.000585910246150237,0.8253079516706977,0.9106875935860835,0.8840163325330256,2609,112155
3,3,0.8791479059745941,False,0.005044401128487199,0.003783300846365399,104.95092112229226,0.8882335928605776,0.9099205336435602,110.889,2.9004665246484156,109.462,2.8201934169646776,0.8971517761079402,0.00028698061420306037,0.8681550346392817,0.9106877060224468,0.8974327470438558,1427,110889
4,2,0.75,False,0.031731112899149524,0.023798334674362147,111.14014771131944,0.8684529174034554,0.9099205336435602,112.296,3.384573440440815,110.028,3.423362396973201,0.8614573094336295,0.0015765555121183541,0.7290658970586222,0.9106870364419887,0.8639571591316771,2268,112296
4,2,0.7822869764936485,False,0.023993478215508457,0.017995108661631343,110.76705766000225,0.8713182541452,0.9099205336435602,112.628,3.0405701219782233,109.773,3.006419226531218,0.8670565576510785,0.0010572004395092884,0.747158779979411,0.9106871480386853,0.8694262711125371,2855,112628
4,2,0.8145739529872971,False,0.01706123996271858,0.012795929972038936,110.09025646505887,0.8752293557121644,0.9099205336435602,111.866,3.3863427428004345,108.809,3.3604982494934412,0.874945339358967,0.0008028713867288061,0.7770220567234195,0.9106871480386853,0.8767438241526682,3057,111866
