left_capacity,right_capacity,required_fidelity,multiplexing,left_ttl_s,right_ttl_s,model_rate_hz,model_fidelity,raw_pair_fidelity,simulation_rate_hz,simulation_rate_std_hz,simulation_accepted_rate_hz,simulation_accepted_rate_std_hz,simulation_fidelity,simulation_fidelity_std,simulation_fidelity_min,simulation_fidelity_max,simulation_accepted_fidelity,simulation_below_target_count,simulation_delivered_count
1,1,0.75,True,0.031731112899149524,0.023798334674362147,93.22794032968521,0.8838233562093313,0.9099205336435602,96.123,2.979894073095332,95.806,2.990652778308448,0.8805618295426378,0.0011618774017341394,0.7296105621634981,0.9106869248453107,0.8810239345301405,317,96123
1,1,0.7822869764936485,True,0.023993478215508457,0.017995108661631343,92.7234285527476,0.884853212534777,0.9099205336435602,96.607,2.988809262579465,95.969,3.0076567274040746,0.8817447331280972,0.0009380944503293373,0.7692223906830716,0.9106869248453107,0.8824494326592943,638,96607
1,1,0.8145739529872971,True,0.01706123996271858,0.012795929972038936,91.88016068959081,0.8863637003748324,0.9099205336435602,95.815,2.6097476560546675,94.777,2.6292778514645465,0.8845294811143855,0.0008425120180833378,0.8051013198796594,0.9106869248453107,0.8853347008124262,1038,95815
1,1,0.8468609294809456,True,0.010782428024622434,0.008086821018466826,90.17950156219813,0.8888140709842387,0.9099205336435602,94.794,2.5768518887521754,93.991,2.586839067981687,0.8899544986169523,0.0005828369161850546,0.8288242823000113,0.9106869248453107,0.8903348128346739,803,94794
1,1,0.8791479059745941,True,0.005044401128487199,0.003783300846365399,85.03988697610666,0.8935467511176207,0.9099205336435602,92.29,2.686799004184885,91.19,2.7028417518148444,0.898492613607767,0.0002894490366309697,0.8700131431111464,0.9106869248453107,0.8987739051907643,1100,92290
1,5,0.75,True,0.031731112899149524,0.023798334674362147,100.69151281816319,0.8242083161474492,0.9099205336435602,100.97,2.953597361479282,93.05,2.869712969140386,0.8311068671670542,0.0015780343398502704,0.7277628578547868,0.9106494787389516,0.8388774868932046,7920,100970
1,5,0.7822869764936485,True,0.023993478215508457,0.017995108661631343,100.69133344817985,0.8351138719496566,0.9099205336435602,101.372,2.9180760231302534,94.346,2.8428688028649916,0.8467288539724374,0.001215810035499979,0.7657924575768484,0.9106845578113655,0.8520170916228376,7026,101372
1,5,0.8145739529872971,True,0.01706123996271858,0.012795929972038936,100.6907863819123,0.8482110312439826,0.9099205336435602,100.501,2.791274101751942,94.9,2.713453202623602,0.8627250467356532,0.0009263221770817626,0.8037878845382662,0.9106875935860835,0.8657762022266206,5601,100501
1,5,0.8468609294809456,True,0.010782428024622434,0.008086821018466826,100.68815614153087,0.8643188235201635,0.9099205336435602,100.649,2.894735556038572,97.507,2.75952912832987,0.8791292616204631,0.000549516224249568,0.8375961650479185,0.9106877060224468,0.8802092669965075,3142,100649
1,5,0.8791479059745941,True,0.005044401128487199,0.003783300846365399,100.65239904561898,0.8846853685496184,0.9099205336435602,100.054,2.744817706592597,99.637,2.748687657480173,0.8958382804726259,0.00027325030159084686,0.8708476764400379,0.9106877060224468,0.8959137117244352,417,100054
2,4,0.75,True,0.031731112899149524,0.023798334674362147,201.3023609972483,0.8637429406348119,0.9099205336435602,201.274,4.340916907285787,196.002,4.431999799438423,0.8550214951820259,0.0009938484765754359,0.7287825253701691,0.9106877060224468,0.8581123013502971,5272,201274
2,4,0.7822869764936485,True,0.023993478215508457,0.017995108661631343,201.2798766024218,0.8674478808141984,0.9099205336435602,201.314,4.287072887110031,195.151,4.239746871613154,0.8619054535062413,0.0008444024483162698,0.7663199692393171,0.9106875935860835,0.8646218781640961,6163,201314
2,4,0.8145739529872971,True,0.01706123996271858,0.012795929972038936,201.23482899931486,0.8724538229661734,0.9099205336435602,202.648,4.1905010428228024,196.237,4.2026363779480755,0.8711963316324952,0.0005992122766035548,0.8034681444283375,0.9106877060224468,0.8731629396871509,6411,202648
2,4,0.8468609294809456,True,0.010782428024622434,0.008086821018466826,201.11319026569583,0.8796362274813648,0.9099205336435602,201.004,4.2655519377137265,196.78,4.301021724984411,0.8830502921403813,0.0004357128028303442,0.8391749090500292,0.9106877060224468,0.8838545904239529,4224,201004
2,4,0.8791479059745941,True,0.005044401128487199,0.003783300846365399,200.45338598245237,0.8908487360342549,0.9099205336435602,200.33,4.409092991772912,199.739,4.43641713206693,0.8970503321045921,0.000220214799431416,0.8711336087383166,0.9106877060224468,0.8971070807562458,591,200330
