left_cutoff_time_ms,left_cutoff_ratio,target_fidelity,throughput_mean,throughput_std,fidelity_mean,fidelity_std,latency_mean_s,latency_std_s
1.0,0.01,0.8791479059745941,24.423,1.5609408584684954,0.8895675614534648,8.781326966667229e-05,0.04094200133651131,0.002631650325860362
2.0,0.02,0.8791479059745941,50.719,2.234834185881324,0.8859098092527478,0.0001548472670008371,0.019710864679376775,0.0008743201111331542
3.0,0.03,0.8791479059745941,40.178,1.955596992214806,0.8857300757322337,0.0001833245276928351,0.024892407410007936,0.0012300788458885863
4.0,0.04,0.8791479059745941,32.968,1.777859341563285,0.8857760515508751,0.0001952993512071918,0.03031934897273833,0.0016245638204020654
5.0,0.049999999999999996,0.8791479059745941,27.318,1.3999552662405852,0.8857419044168928,0.00020803237060228278,0.036527408119826285,0.0018929656330995215
6.0,0.06,0.8791479059745941,23.496,1.4485046277336002,0.885751176038024,0.00022903304585365986,0.04251885271853075,0.002592667127143449
8.0,0.08,0.8791479059745941,18.334,1.5740458068367014,0.8856945108130334,0.0002759905273765691,0.05462293608678851,0.004693417995435592
10.0,0.09999999999999999,0.8791479059745941,14.914,1.454357437343226,0.8857054268897032,0.000334940441407363,0.06720588465347843,0.0067715757238839954
15.0,0.15,0.8791479059745941,10.195,1.1433934077335257,0.8856931320544995,0.0003614335373551952,0.09803399623656149,0.011480754680793522
20.0,0.19999999999999998,0.8791479059745941,7.912,0.9213823606654592,0.8857425570109119,0.00044241542626826205,0.12607497838204987,0.01493654193688521
30.0,0.3,0.8791479059745941,5.437,0.9485400797163411,0.885712169159528,0.0005327841310402275,0.18569795911722276,0.033718245842543064
